City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
104,chonchi,-42.6128,-73.8092,-531.74,82,99,1.36,CL,1702253941
105,baikunthpur,23.25,82.55,-533.5899999999999,68,0,0.59,IN,1702254394
106,imatra,61.1719,28.7524,-558.0899999999999,97,93,3.04,FI,1702254395
107,haiku-pauwela,20.9219,-156.3051,-515.29,57,40,7.2,US,1702253829
108,aasiaat,68.7098,-52.8699,-550.38,92,100,6.49,GL,1702253927
109,yanam,16.7333,82.2167,-524.66,89,83,1.75,IN,1702254396
110,guerrero negro,27.9769,-114.0611,-523.9399999999999,28,0,3.44,MX,1702253900
111,nova sintra,14.8667,-24.7167,-523.36,76,99,3.49,CV,1702253857
112,korhogo,9.45,-5.6333,-522.41,19,88,1.53,CI,1702254310
113,langsa,4.4683,97.9683,-521.9599999999999,92,99,0.96,ID,1702254397
114,nemuro,43.3236,145.575,-546.1999999999999,51,20,6.39,JP,1702254094
115,farsan,32.2569,50.561,-548.28,36,100,1.28,IR,1702254398
116,smirnykh,49.75,142.8333,-561.81,79,33,3.94,RU,1702254398
117,bilibino,68.0546,166.4372,-572.44,98,41,2.09,RU,1702253843
118,port lincoln,-34.7333,135.8667,-529.2199999999999,94,100,7.25,AU,1702253940
119,howard springs,-12.497,131.047,-515.29,85,75,2.2,AU,1702253997
120,juripiranga,-7.3733,-35.2381,-520.6399999999999,61,19,2.77,BR,1702254399
121,shimokizukuri,40.8061,140.3861,-542.12,63,97,4.96,JP,1702254400
122,yuzhno-kurilsk,44.0306,145.8556,-545.54,76,98,6.98,RU,1702253939
123,eydhafushi,5.1033,73.0708,-518.1899999999999,74,75,2.0,MV,1702254400
124,punta arenas,-53.15,-70.9167,-537.24,61,0,3.09,CL,1702253792
125,dunedin,-45.8742,170.5036,-530.31,60,32,2.9,NZ,1702253981
126,lospalos,-8.5186,127.0025,-518.86,69,100,0.98,TL,1702254401
127,atafu village,-8.5421,-172.5159,-517.51,75,93,5.79,TK,1702253977
128,lagoa vermelha,-28.2086,-51.5258,-531.3499999999999,98,90,0.95,BR,1702254402
129,castillos,-34.1667,-53.8333,-530.4699999999999,95,9,2.54,UY,1702253999
130,baiti,13.745,-14.7482,-520.0799999999999,15,65,3.47,SN,1702254403
131,comrat,46.3003,28.6572,-543.51,89,96,2.93,MD,1702254403
132,mirny,62.5353,113.9611,-575.8699999999999,96,100,3.04,RU,1702254404
133,thompson,55.7435,-97.8558,-562.2099999999999,92,100,2.06,CA,1702253897
134,dombarovskiy,50.7587,59.5386,-567.9699999999999,91,7,4.92,RU,1702254404
135,iskateley,67.6803,53.1512,-569.0699999999999,91,99,4.92,RU,1702253890
136,coahuayana de hidalgo,18.7,-103.6583,-519.7299999999999,69,100,0.45,MX,1702254402
137,tiznit,29.5833,-9.5,-526.77,27,46,2.38,MA,1702254405
138,mehtar lam,34.6714,70.2094,-536.8999999999999,17,38,1.56,AF,1702254406
139,bhimbar,32.9757,74.0793,-534.9099999999999,32,27,0.9,PK,1702254406
140,brady,31.1352,-99.3351,-537.05,25,0,0.0,US,1702254406
141,pudozh,61.8099,36.5345,-559.6599999999999,93,100,4.02,RU,1702254406
142,amnat charoen,15.9167,104.75,-523.16,68,81,1.82,TH,1702254407
143,el nido,11.1858,119.3956,-517.99,75,92,5.19,PH,1702254407
144,howrah,22.5892,88.3103,-531.3,88,0,0.0,IN,1702253924
145,whitehorse,60.7161,-135.0538,-559.87,83,100,1.54,CA,1702253863
146,vanino,49.0869,140.2543,-568.01,66,1,6.58,RU,1702254408
147,kailua-kona,19.6406,-155.9956,-518.1899999999999,80,20,3.09,US,1702253830
148,pesqueria,25.7833,-100.05,-530.55,47,0,1.54,MX,1702254408
149,gafargaon,24.4333,90.5667,-530.56,61,0,1.88,BD,1702254409
150,ponta delgada,37.7333,-25.6667,-527.86,82,20,7.2,PT,1702254409
151,ormara,25.2088,64.6357,-523.87,44,0,3.53,PK,1702254409
152,namanga,-2.5433,36.7905,-528.0,90,94,2.3,KE,1702254410
153,grand-popo,6.2804,1.8225,-518.88,78,5,2.99,BJ,1702254410
154,palmer,42.1584,-72.3287,-530.55,83,100,1.34,US,1702254205
155,kuqa,41.7278,82.9364,-549.4099999999999,59,51,1.5,CN,1702254411
156,belyy yar,53.6039,91.3903,-579.3599999999999,75,79,0.0,RU,1702254411
157,caiaponia,-16.9567,-51.8103,-523.4699999999999,74,98,2.74,BR,1702254411
