City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
251,luorong,24.4058,109.6086,285.71,77,100,5.42,CN,1702340596,12.560000000000002
252,fortuna,40.5982,-124.1573,287.0,92,0,4.63,US,1702340527,13.850000000000023
253,okhotsk,59.3833,143.3,263.74,91,100,2.43,RU,1702340597,-9.409999999999968
254,lorengau,-2.0226,147.2712,302.7,76,94,5.29,PG,1702340597,29.55000000000001
255,prado,-17.3411,-39.2208,298.51,84,66,5.83,BR,1702340597,25.360000000000014
256,touros,-5.1989,-35.4608,299.78,75,0,6.03,BR,1702340598,26.629999999999995
257,al jubayl,27.0112,49.6583,295.35,60,45,2.45,SA,1702340598,22.200000000000045
258,lionel town,17.8101,-77.2406,302.09,82,81,4.46,JM,1702340599,28.939999999999998
259,karkira,36.9292,6.5856,289.81,65,10,3.14,DZ,1702340599,16.660000000000025
260,carutapera,-1.195,-46.02,299.46,81,68,3.46,BR,1702340600,26.310000000000002
261,damghan,36.1683,54.348,279.05,78,99,0.28,IR,1702340600,5.900000000000034
262,east london,-33.0153,27.9116,292.3,86,64,2.2,ZA,1702340601,19.150000000000034
263,harper,4.375,-7.7169,299.7,81,38,3.36,LR,1702340601,26.55000000000001
264,greymouth,-42.4667,171.2,287.08,60,70,9.05,NZ,1702340602,13.930000000000007
265,tofol,5.3248,163.0078,302.03,84,75,3.6,FM,1702340602,28.879999999999995
266,port alfred,-33.5906,26.891,289.92,96,4,0.45,ZA,1702340322,16.77000000000004
267,chernyshevsk,52.5243,117.0174,237.12,100,22,0.37,RU,1702340603,-36.02999999999997
268,kodiak,57.79,-152.4072,271.88,64,0,2.57,US,1702340573,-1.2699999999999818
269,jiayuguan,39.8167,98.3,273.1,20,59,1.8,CN,1702340603,-0.049999999999954525
270,posto fiscal rolim de moura,-13.0833,-62.2667,297.99,91,99,1.27,BR,1702340604,24.840000000000032
271,vila franca do campo,37.7167,-25.4333,287.38,82,84,2.41,PT,1702340604,14.230000000000018
272,badger,64.8,-147.5333,267.08,86,100,4.63,US,1702340605,-6.069999999999993
273,laguna,38.421,-121.4238,289.32,47,0,2.06,US,1702340344,16.170000000000016
274,shizunai-furukawacho,42.3339,142.3669,273.01,78,100,1.51,JP,1702340606,-0.13999999999998636
275,hamilton,39.1834,-84.5333,275.36,76,0,1.79,US,1702340398,2.2100000000000364
276,cabo san lucas,22.8909,-109.9124,298.49,65,0,2.06,MX,1702340395,25.340000000000032
277,jining,35.405,116.5814,269.19,94,58,0.41,CN,1702340607,-3.9599999999999795
278,lazaro cardenas,17.9583,-102.2,300.06,69,93,1.84,MX,1702340607,26.910000000000025
279,codrington,-38.2667,141.9667,302.15,47,100,5.93,AU,1702340608,29.0
280,kurunegala,7.4863,80.3623,295.6,96,93,1.39,LK,1702340608,22.450000000000045
281,lycksele,64.5954,18.6735,266.08,93,100,1.54,SE,1702340608,-7.069999999999993
282,gamba,-2.65,10.0,298.96,86,97,1.23,GA,1702340609,25.810000000000002
283,frumusani,44.2961,26.3256,276.07,91,38,2.23,RO,1702340610,2.920000000000016
284,kharp,66.8014,65.8081,250.2,96,100,1.74,RU,1702340610,-22.94999999999999
285,ad dilam,23.9915,47.1627,289.38,26,27,2.43,SA,1702340610,16.230000000000018
286,oranjemund,-28.55,16.4333,289.09,94,6,5.74,NA,1702340611,15.939999999999998
287,vershino-darasunskiy,52.35,115.5167,240.14,99,9,0.95,RU,1702340611,-33.00999999999999
288,birjand,32.8663,59.2211,273.41,51,0,3.09,IR,1702340611,0.26000000000004775
289,barcelona,41.3888,2.159,289.56,78,20,2.06,ES,1702340494,16.410000000000025
290,ancud,-41.8697,-73.8203,284.29,79,99,4.77,CL,1702340379,11.140000000000043
291,smithers,54.7804,-127.1743,269.33,93,100,1.54,CA,1702340518,-3.819999999999993
292,hampton bays,40.869,-72.5176,278.66,67,40,8.05,US,1702340613,5.510000000000048
293,clewiston,26.7542,-80.9337,289.12,55,98,6.17,US,1702340613,15.970000000000027
294,belomorsk,64.5232,34.7668,259.66,95,100,1.45,RU,1702340614,-13.489999999999952
295,saint-joseph,-21.3667,55.6167,295.08,80,42,4.55,RE,1702340614,21.930000000000007
296,duyun,26.2667,107.5167,280.72,88,99,2.01,CN,1702340615,7.57000000000005
297,el matama,16.7095,33.3565,296.41,16,40,4.42,SD,1702340615,23.260000000000048
298,constitucion,-35.3333,-72.4167,286.88,79,80,6.09,CL,1702340615,13.730000000000018
299,namibe,-15.1961,12.1522,295.08,72,59,2.74,AO,1702340616,21.930000000000007
300,bardsir,29.9227,56.5743,279.87,26,100,0.29,IR,1702340616,6.720000000000027
301,saint-philippe,-21.3585,55.7679,294.92,81,66,4.2,RE,1702340616,21.77000000000004
